vrefdes,vpin,refdes,pin
VCOMP0,0,J1,pdna_pin_1_1
VCOMP0,1,J1,pdna_pin_1_2
VCOMP0,2,J1,pdna_pin_2_1
VCOMP0,3,J1,pdna_pin_2_2
VCOMP1,0,Q1,2
VCOMP1,1,Q3,3
VCOMP2,0,Q5,2
VCOMP2,1,Q7,3
