refdes,pin,voltage,current
C19,2,23.985,15.0
C19,1,0.0,-15.0
J2,pdna_pin_1_1,23.9746,-7.50736
J2,pdna_pin_1_2,23.9744,-7.49267
J2,pdna_pin_2_1,0.0145524,7.48682
J2,pdna_pin_2_2,0.0142003,7.51322
