Net Status Report
Filename     : D:\GitHub Desktop\MarsRover2021-hardware\Projects\Power Distribution Board\Rev3\Power Distribution Board.PcbDoc
Date         : 2021-12-29
Time         : 9:10:19 PM
Time Elapsed : 00:00:00

Nets, Layer, Length
    NetR11_2, Signal Layers Only, 1082.134mils
    NetR20_2, Signal Layers Only, 1588.038mils
    NetR21_1, Signal Layers Only, 405.289mils
    NetR23_1, Signal Layers Only, 377.82mils
    NetR24_2, Signal Layers Only, 1130.19mils
    NetR28_2, Signal Layers Only, 950.424mils
    NetR29_1, Signal Layers Only, 3351.94mils
    NetR2_2, Signal Layers Only, 960.124mils
    NetR30_1, Signal Layers Only, 3078.678mils
    NetR31_1, Signal Layers Only, 2772.901mils
    NetR32_2, Signal Layers Only, 1546.202mils
    NetR33_1, Signal Layers Only, 2663.279mils
    NetR36_2, Signal Layers Only, 1482.21mils
    NetR39_2, Signal Layers Only, 2870.632mils
    NetR3_2, Signal Layers Only, 1244.217mils
    NetR6_2, Signal Layers Only, 1340.601mils
    NetR70_1, Signal Layers Only, 173.569mils
    NetR73_1, Signal Layers Only, 126.542mils
    NetR75_1, Signal Layers Only, 103.258mils
    NetR77_2, Signal Layers Only, 190.945mils
    NetR7_2, Signal Layers Only, 1344.024mils
    NetR94_1, Signal Layers Only, 359.689mils
    NetTP13_1, Signal Layers Only, 842.217mils
    NetTP14_1, Signal Layers Only, 1298.564mils
    NetTP19_1, Signal Layers Only, 1294.944mils
    NetU10_4, Signal Layers Only, 2231.186mils
    NetU11_33, Signal Layers Only, 1646.951mils
    NetU11_34, Signal Layers Only, 1386.904mils
    NetU11_37, Signal Layers Only, 1606.331mils
    NetU11_44, Signal Layers Only, 834.92mils
    NetU11_45, Signal Layers Only, 657.05mils
    NetU16_2, Signal Layers Only, 184.276mils
    NetU1_1, Signal Layers Only, 1082.055mils
    NetU2_1, Signal Layers Only, 2801.297mils
    NetU2_2, Signal Layers Only, 2865.342mils
    NetU2_3, Signal Layers Only, 2835.866mils
    NetU2_4, Signal Layers Only, 2059.652mils
    NetU2_80, Signal Layers Only, 2264.757mils
    NetU6_4, Signal Layers Only, 2898.988mils
    NetU7_4, Signal Layers Only, 2733.021mils
    NetU8_4, Signal Layers Only, 2512.921mils
    PGATE, Signal Layers Only, 833.393mils
    RAMP, Signal Layers Only, 975.362mils
    RES, Signal Layers Only, 361.98mils
    RS-485_N, Signal Layers Only, 3815.651mils
    RS-485_P, Signal Layers Only, 3729.005mils
    SS, Signal Layers Only, 143.1mils
    SW, Signal Layers Only, 301.144mils
    SWD_CLK, Signal Layers Only, 464.804mils
    SWD_IO, Signal Layers Only, 605.077mils
    TEMPERATURE_ADC_INPUT, Signal Layers Only, 343.356mils
    USB_N, Signal Layers Only, 3907.549mils
    USB_P, Signal Layers Only, 3854.627mils
    VBAT, Signal Layers Only, 0mils
    VBAT_FUSED, Signal Layers Only, 0mils
count : 181
