vrefdes,vpin,refdes,pin
VCOMP0,0,J10,1
VCOMP0,1,J10,2
VCOMP1,0,J11,1
VCOMP1,1,J11,2
VCOMP2,0,J12,1
VCOMP2,1,J12,2
VCOMP3,0,J14,1
VCOMP3,1,J14,2
VCOMP4,0,C78,1
VCOMP4,1,C78,2
VCOMP5,0,C79,1
VCOMP5,1,C79,2
VCOMP6,0,U6,3
VCOMP6,1,U6,2
VCOMP6,2,U6,7
VCOMP6,3,U6,6
VCOMP6,4,U6,5
VCOMP7,0,U7,3
VCOMP7,1,U7,2
VCOMP7,2,U7,7
VCOMP7,3,U7,6
VCOMP7,4,U7,5
VCOMP8,0,U8,3
VCOMP8,1,U8,2
VCOMP8,2,U8,7
VCOMP8,3,U8,6
VCOMP8,4,U8,5
VCOMP9,0,U10,3
VCOMP9,1,U10,2
VCOMP9,2,U10,7
VCOMP9,3,U10,6
VCOMP9,4,U10,5
