Change Physical Footprint: Designator=1 Old Footprint=HDR1X2 New Footprint=HDR1X2
Change Physical Footprint: Designator=R11 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R12 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R13 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R14 Old Footprint=3362P-1-502LF New Footprint=3362P-1-502LF
Change Physical Footprint: Designator=R15 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R16 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R17 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R18 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R19 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R20 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R21 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R22 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R23 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R24 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R25 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R26 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R27 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R28 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R29 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R30 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=R31 Old Footprint=RESC0603(1608)_N New Footprint=RESC0603(1608)_N
Change Physical Footprint: Designator=RGB Old Footprint=JST-B2B-SM4-TB New Footprint=JST-B2B-SM4-TB
Change Physical Footprint: Designator=S1 Old Footprint=PTS830GM140 New Footprint=PTS830GM140
Change Physical Footprint: Designator=S2 Old Footprint=B3U-1100P New Footprint=B3U-1100P
Change Physical Footprint: Designator=S3 Old Footprint=B3U-1100P New Footprint=B3U-1100P
Change Physical Footprint: Designator=TEMP Old Footprint=JST-B3B-SM4-TB New Footprint=JST-B3B-SM4-TB
Change Physical Footprint: Designator=TP1 Old Footprint=TESTPOINT New Footprint=TESTPOINT
Change Physical Footprint: Designator=TP2 Old Footprint=TESTPOINT New Footprint=TESTPOINT
Change Physical Footprint: Designator=TP3 Old Footprint=TESTPOINT New Footprint=TESTPOINT
Change Physical Footprint: Designator=TP4 Old Footprint=TESTPOINT New Footprint=TESTPOINT
Change Physical Footprint: Designator=TP5 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP6 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
Change Physical Footprint: Designator=TP7 Old Footprint=TESTPOINT_LOOP New Footprint=TESTPOINT_LOOP
