vrefdes,vpin,refdes,pin
VCOMP0,0,F1,2
VCOMP0,1,GND,1
VCOMP1,0,U1,4
VCOMP1,1,U1,5
VCOMP1,2,U1,12
VCOMP1,3,U1,1
VCOMP1,4,U1,8
VCOMP1,5,U1,16
VCOMP1,6,U1,9
