vrefdes,vpin,refdes,pin
VCOMP0,0,C28,1
VCOMP0,1,C28,2
VCOMP1,0,J13,1
VCOMP1,1,J13,2
VCOMP2,0,U15,3
VCOMP2,1,U15,5
VCOMP2,2,U15,1
