vrefdes,vpin,refdes,pin
VCOMP0,0,U1,2
VCOMP0,1,U1,15
VCOMP0,2,U1,7
VCOMP0,3,U1,10
VCOMP1,0,OUTA,1
VCOMP1,1,OUTB,1
VCOMP2,0,F1,2
VCOMP2,1,GND,1
VCOMP3,0,U1,4
VCOMP3,1,U1,5
VCOMP3,2,U1,12
VCOMP3,3,U1,1
VCOMP3,4,U1,8
VCOMP3,5,U1,16
VCOMP3,6,U1,9
