refdes,pin,voltage,current
F1,2,11.9925,7.5
GND,1,0.0,-7.5
U1,4,11.9807,-2.49271
U1,5,11.9807,-2.49304
U1,12,11.9816,-2.51425
U1,1,0.00607596,1.85208
U1,8,0.00507439,1.87399
U1,16,0.00511968,1.873
U1,9,0.00384344,1.90092
