"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","BANDWIDTH","CASE/PACKAGE","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","COMPONENTLINK2DESCRIPTION","COMPONENTLINK2URL","COMPONENTLINK3DESCRIPTION","COMPONENTLINK3URL","COMPONENTLINK4DESCRIPTION","COMPONENTLINK4URL","COMPONENTLINK5DESCRIPTION","COMPONENTLINK5URL","CURRENT OUTPUT","DIGIKEY PART NUMBER","DIMENSIONS","FORWARD VOLTAGE DROP","HIGH LEVEL OUTPUT CURRENT","INTERFACE","LEAD FREE","LOGIC FUNCTION","LOW LEVEL OUTPUT CURRENT","MANUFACTURER","MANUFACTURER PART NUMBER","MAX OPERATING TEMPERATURE","MAX OUTPUT CURRENT","MAX POWER DISSIPATION","MAX SUPPLY VOLTAGE","MIN OPERATING TEMPERATURE","MIN SUPPLY VOLTAGE","MOUNT","MPN","NUMBER OF BITS","NUMBER OF CHANNELS","NUMBER OF CIRCUITS","NUMBER OF ELEMENTS","NUMBER OF GATES","NUMBER OF INPUT LINES","NUMBER OF INPUTS","NUMBER OF OUTPUT LINES","NUMBER OF OUTPUTS","NUMBER OF PINS","ON-STATE RESISTANCE","OPERATING SUPPLY CURRENT","OUTPUT CURRENT","PACKAGE","PACKAGE QUANTITY","PACKAGING","PART NUMBER","PART NUMBER (MPN)","POWER DISSIPATION","PRICING 1","PROPAGATION DELAY","QUIESCENT CURRENT","RADIATION HARDENING","REACH SVHC","STOCK 1","SUPPLIER 1","SUPPLIER PART NUMBER 1","SUPPLY TYPE","TEMPERATURE COEFFICIENT","TERMINATION","TOLERANCE","TURN-OFF DELAY TIME","TURN-ON DELAY TIME","VALUE","VOLTAGE RATING","WEIGHT","SHEETPART","DESIGNATOR","DESCRIPTION"
"CAP_22uF_POL","CAPR-2/4h6.8","","","","","","","","","","","","","","","","","","","732-8857-1-ND","","","","","","","","Wurth Electronics Inc.","","","","","","","","","860020672011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20%","","","22uF","50V","","","C?","CAP ALUM 22UF 20% 50V RADIAL"
"CAP_4.7uF_0603","CAPC0603(1608)55_N","","","","","","","","","","","","","","","","","","","311-1521-1-ND","0.063" L x 0.031" W (1.60mm x 0.80mm)","","","","","","","Yageo","","","","","","","","","CC0603KRX5R5BB475","","","","","","","","","","","","","","0603 (1608 Metric)","","","","","","","","","","","","","","","X5R","","","","","4.7uF","6.3V","","","C?","CAP CER 4.7UF 6.3V X5R 0603"
"CAP_UNKNOWN","CAPC0603(1608)55_N","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","C?",""
"CON_2M","JST-B2B-PHSK","JST-B2B-SM4-TB","JST-S2B-PHSK","JST-S2B-SM4-TB","HDR1X2","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"CON_3M","JST-B3B-SM4-TB","JST-B3B-PHSK","JST-S3B-SM4-TB","JST-S3B-PHSK","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"CON_4M","JST-B4B-PHSK","JST-B4B-SM4-TB","JST-S4B-PHSK","JST-S4B-SM4-TB","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"CON_5M","JST-B5B-PHSK","JST-B5B-SM4-TB","JST-S5B-PHSK","JST-S5B-SM4-TB","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"CON_BNC","1-1337543-0","","","","","","","*","","","","","","","","","","","","A97553-ND","","","","","","","","TE Connectivity","","","","","","","","","1-1337543-0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","J?",""
"CON_IDC_2x5","IDC HEADER","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","*","*",""
"CRYSTAL_32MHZ","AVX-CX2520DB32000D0GEJZ1-4_V","","","","","","","","","","","","","","","","","","","1253-1730-1-ND","0.098" L x 0.079" W (2.50mm x 2.00mm)","","","","","","","Kyocera International Inc. Electronic Components","","","","","","","","","CX2520DB32000D0GPSC1","","","","","","","","","","","","","","4-SMD, No Lead","","","","","","","","","","","","","","","","","","","","","","","","Y?","CRYSTAL 32MHZ 8PF SMD"
