vrefdes,vpin,refdes,pin
VCOMP0,0,J1,2
VCOMP0,1,J1,1
VCOMP1,0,J9,1
VCOMP1,1,J2,2
VCOMP2,0,J5,1
VCOMP2,1,J5,2
VCOMP3,0,U1,A'
VCOMP3,1,U1,C'
VCOMP3,2,U1,E
VCOMP3,3,U1,B'
VCOMP3,4,U1,D'
VCOMP4,0,U1,A
VCOMP4,1,U1,E
VCOMP4,2,U1,B'
VCOMP4,3,U1,D'
VCOMP5,0,U2,8
VCOMP5,1,U2,9
VCOMP5,2,U2,7
VCOMP6,0,U2,2
VCOMP6,1,U2,9
VCOMP6,2,U2,7
VCOMP7,0,Q1,2
VCOMP7,1,Q1,3
VCOMP8,0,F1,1
VCOMP8,1,F1,2
VCOMP9,0,L1,1
VCOMP9,1,L1,2
VCOMP10,0,L2,1
VCOMP10,1,L2,2
VCOMP11,0,L3,1
VCOMP11,1,L3,2
