x,y,layer1,layer2,voltage1,voltage2,current
719.899,1210.1,TOP_LAYER,GROUND,0.00614399,0.00612948,0.371384
719.899,1210.1,GROUND,POWER,0.00612948,0.00589774,0.268944
719.899,1210.1,POWER,BOTTOM_LAYER,0.00589774,0.00588723,0.268944
724.899,1310.1,TOP_LAYER,GROUND,0.00624149,0.00623558,0.151345
724.899,1310.1,GROUND,POWER,0.00623558,0.00597132,0.306685
724.899,1310.1,POWER,BOTTOM_LAYER,0.00597132,0.00595934,0.306685
739.899,1575.1,TOP_LAYER,GROUND,0.00934944,0.00913563,5.47291
739.899,1575.1,GROUND,POWER,0.00913563,0.00802808,1.28537
739.899,1575.1,POWER,BOTTOM_LAYER,0.00802808,0.00797786,1.28537
759.899,2390.1,TOP_LAYER,GROUND,0.00156992,0.00159567,-0.659306
759.899,2390.1,GROUND,POWER,0.00159567,0.0014898,0.122875
759.899,2390.1,POWER,BOTTOM_LAYER,0.0014898,0.001485,0.122875
759.899,2990.1,TOP_LAYER,GROUND,0.000796414,0.000803829,-0.189798
759.899,2990.1,GROUND,POWER,0.000803829,0.000974026,-0.197522
759.899,2990.1,POWER,BOTTOM_LAYER,0.000974026,0.000981743,-0.197522
769.899,1415.1,TOP_LAYER,GROUND,0.00649694,0.00652896,-0.819503
769.899,1415.1,GROUND,POWER,0.00652896,0.00606633,0.536901
769.899,1415.1,POWER,BOTTOM_LAYER,0.00606633,0.00604536,0.536901
799.899,1210.1,TOP_LAYER,GROUND,0.00614184,0.00612736,0.37051
799.899,1210.1,GROUND,POWER,0.00612736,0.00587463,0.29331
799.899,1210.1,POWER,BOTTOM_LAYER,0.00587463,0.00586317,0.29331
799.899,1615.1,TOP_LAYER,GROUND,0.0113528,0.0107695,14.9314
799.899,1615.1,GROUND,POWER,0.0107695,0.00819438,2.98857
799.899,1615.1,POWER,BOTTOM_LAYER,0.00819438,0.00807762,2.98857
804.899,1340.1,TOP_LAYER,GROUND,0.00630847,0.00630878,-0.00807073
804.899,1340.1,GROUND,POWER,0.00630878,0.00597431,0.388175
804.899,1340.1,POWER,BOTTOM_LAYER,0.00597431,0.00595914,0.388175
814.899,2190.1,TOP_LAYER,GROUND,23.9493,23.9493,0.0993921
814.899,2190.1,GROUND,POWER,23.9493,23.9492,0.0993921
814.899,2190.1,POWER,BOTTOM_LAYER,23.9492,23.9492,1.81876e-10
909.899,590.101,TOP_LAYER,GROUND,0.113369,0.113357,0.295356
909.899,590.101,GROUND,POWER,0.113357,0.113103,0.295356
909.899,590.101,POWER,BOTTOM_LAYER,0.113103,0.113103,1.06568e-12
909.899,990.101,TOP_LAYER,GROUND,0.111147,0.111146,0.0095212
909.899,990.101,GROUND,POWER,0.111146,0.111138,0.0095212
909.899,990.101,POWER,BOTTOM_LAYER,0.111138,0.111138,1.06568e-12
909.899,1790.1,TOP_LAYER,GROUND,0.102661,0.102729,-1.7295
909.899,1790.1,GROUND,POWER,0.102729,0.104219,-1.7295
909.899,1790.1,POWER,BOTTOM_LAYER,0.104219,0.104219,1.06568e-12
909.899,2190.1,TOP_LAYER,GROUND,23.9493,23.9493,0.0681359
909.899,2190.1,GROUND,POWER,23.9493,23.9493,0.0681359
909.899,2190.1,POWER,BOTTOM_LAYER,23.9493,23.9493,1.81876e-10
909.899,2690.1,TOP_LAYER,GROUND,0.000822375,0.000834915,-0.320988
909.899,2690.1,GROUND,POWER,0.000834915,0.0010339,-0.23093
909.899,2690.1,POWER,BOTTOM_LAYER,0.0010339,0.00104292,-0.23093
909.899,3290.1,TOP_LAYER,GROUND,0.000630386,0.00063886,-0.216922
909.899,3290.1,GROUND,POWER,0.00063886,0.000859889,-0.256514
909.899,3290.1,POWER,BOTTOM_LAYER,0.000859889,0.00086991,-0.256514
959.899,2115.1,TOP_LAYER,GROUND,23.9494,23.9493,0.0565291
959.899,2115.1,GROUND,POWER,23.9493,23.9493,0.0565291
959.899,2115.1,POWER,BOTTOM_LAYER,23.9493,23.9493,9.09378e-11
1010.03,2691.94,TOP_LAYER,GROUND,0,6.78008e-05,-3.76974
1010.03,2691.94,GROUND,POWER,6.78008e-05,0.000719901,-1.64388
1010.03,2691.94,POWER,BOTTOM_LAYER,0.000719901,0.000749467,-1.64388
1010.03,3151.94,TOP_LAYER,GROUND,0,5.20688e-05,-2.89503
1010.03,3151.94,GROUND,POWER,5.20688e-05,0.000613737,-1.41591
1010.03,3151.94,POWER,BOTTOM_LAYER,0.000613737,0.000639203,-1.41591
1014.36,415.637,TOP_LAYER,GROUND,0.114654,0.114623,1.71337
1014.36,415.637,GROUND,POWER,0.114623,0.113943,1.71337
1014.36,415.637,POWER,BOTTOM_LAYER,0.113943,0.113943,7.71607e-13
1014.36,875.637,TOP_LAYER,GROUND,0.112677,0.112653,1.33314
1014.36,875.637,GROUND,POWER,0.112653,0.112124,1.33314
1014.36,875.637,POWER,BOTTOM_LAYER,0.112124,0.112124,7.71607e-13
1004.9,2190.1,TOP_LAYER,GROUND,23.9494,23.9494,0.030608
1004.9,2190.1,GROUND,POWER,23.9494,23.9493,0.030608
1004.9,2190.1,POWER,BOTTOM_LAYER,23.9493,23.9493,1.81876e-10
1009.9,790.101,TOP_LAYER,GROUND,0.11259,0.11258,0.272614
1009.9,790.101,GROUND,POWER,0.11258,0.112345,0.272614
1009.9,790.101,POWER,BOTTOM_LAYER,0.112345,0.112345,7.10451e-13
1059.9,2115.1,TOP_LAYER,GROUND,23.9494,23.9494,0.0567009
1059.9,2115.1,GROUND,POWER,23.9494,23.9493,0.0567009
1059.9,2115.1,POWER,BOTTOM_LAYER,23.9493,23.9493,1.81876e-10
1059.9,2390.1,TOP_LAYER,GROUND,0.00127174,0.00129998,-0.722882
1059.9,2390.1,GROUND,POWER,0.00129998,0.00129192,0.0093566
1059.9,2390.1,POWER,BOTTOM_LAYER,0.00129192,0.00129155,0.0093566
1059.9,2990.1,TOP_LAYER,GROUND,0.000427909,0.000444928,-0.435615
1059.9,2990.1,GROUND,POWER,0.000444928,0.000784848,-0.394494
1059.9,2990.1,POWER,BOTTOM_LAYER,0.000784848,0.00080026,-0.394494
1109.9,590.101,TOP_LAYER,GROUND,0.113407,0.113395,0.307198
1109.9,590.101,GROUND,POWER,0.113395,0.11313,0.307198
1109.9,590.101,POWER,BOTTOM_LAYER,0.11313,0.11313,3.55226e-13
1109.9,990.101,TOP_LAYER,GROUND,0.110806,0.110803,0.0697841
1109.9,990.101,GROUND,POWER,0.110803,0.110743,0.0697841
1109.9,990.101,POWER,BOTTOM_LAYER,0.110743,0.110743,1.06568e-12
1109.9,1390.1,TOP_LAYER,GROUND,0.105545,0.105598,-1.34187
1109.9,1390.1,GROUND,POWER,0.105598,0.106754,-1.34187
1109.9,1390.1,POWER,BOTTOM_LAYER,0.106754,0.106754,-3.55226e-13
1109.9,1790.1,TOP_LAYER,GROUND,0.102953,0.103018,-1.65918
1109.9,1790.1,GROUND,POWER,0.103018,0.104448,-1.65918
1109.9,1790.1,POWER,BOTTOM_LAYER,0.104448,0.104448,7.10451e-13
1167.51,2691.94,TOP_LAYER,GROUND,0,6.50507e-05,-3.61683
1167.51,2691.94,GROUND,POWER,6.50507e-05,0.00071379,-1.63541
1167.51,2691.94,POWER,BOTTOM_LAYER,0.00071379,0.000743203,-1.63541
1167.51,3151.94,TOP_LAYER,GROUND,0,5.35985e-05,-2.98008
1167.51,3151.94,GROUND,POWER,5.35985e-05,0.000635095,-1.46589
1167.51,3151.94,POWER,BOTTOM_LAYER,0.000635095,0.00066146,-1.46589
1171.84,415.637,TOP_LAYER,GROUND,0.114645,0.114615,1.70006
1171.84,415.637,GROUND,POWER,0.114615,0.11394,1.70006
1171.84,415.637,POWER,BOTTOM_LAYER,0.11394,0.11394,7.71607e-13
1171.84,875.637,TOP_LAYER,GROUND,0.112496,0.112472,1.3237
1171.84,875.637,GROUND,POWER,0.112472,0.111947,1.3237
1171.84,875.637,POWER,BOTTOM_LAYER,0.111947,0.111947,7.71607e-13
1169.9,1105.1,TOP_LAYER,GROUND,0.109289,0.109298,-0.228436
1169.9,1105.1,GROUND,POWER,0.109298,0.109495,-0.228436
1169.9,1105.1,POWER,BOTTOM_LAYER,0.109495,0.109495,3.55226e-13
1184.9,2530.1,TOP_LAYER,GROUND,0.000976404,0.00098858,-0.311663
1184.9,2530.1,GROUND,POWER,0.00098858,0.00112259,-0.155528
1184.9,2530.1,POWER,BOTTOM_LAYER,0.00112259,0.00112867,-0.155528
1209.9,790.101,TOP_LAYER,GROUND,0.112376,0.112367,0.236843
1209.9,790.101,GROUND,POWER,0.112367,0.112162,0.236843
1209.9,790.101,POWER,BOTTOM_LAYER,0.112162,0.112162,1.06568e-12
1209.9,1190.1,TOP_LAYER,GROUND,0.108319,0.108335,-0.406737
1209.9,1190.1,GROUND,POWER,0.108335,0.108685,-0.406737
1209.9,1190.1,POWER,BOTTOM_LAYER,0.108685,0.108685,1.06568e-12
1209.9,1590.1,TOP_LAYER,GROUND,0.104008,0.104068,-1.5357
1209.9,1590.1,GROUND,POWER,0.104068,0.105391,-1.5357
1209.9,1590.1,POWER,BOTTOM_LAYER,0.105391,0.105391,1.06568e-12
1209.9,3290.1,TOP_LAYER,GROUND,0.000567173,0.000581786,-0.374029
1209.9,3290.1,GROUND,POWER,0.000581786,0.00087095,-0.335589
1209.9,3290.1,POWER,BOTTOM_LAYER,0.00087095,0.00088406,-0.335589
1219.9,2190.1,TOP_LAYER,GROUND,23.9495,23.9495,0.060313
1219.9,2190.1,GROUND,POWER,23.9495,23.9495,0.060313
1219.9,2190.1,POWER,BOTTOM_LAYER,23.9495,23.9495,1.81876e-10
1219.9,2455.1,TOP_LAYER,GROUND,0.00117975,0.0011937,-0.357087
1219.9,2455.1,GROUND,POWER,0.0011937,0.00123747,-0.0507941
1219.9,2455.1,POWER,BOTTOM_LAYER,0.00123747,0.00123945,-0.0507941
1239.9,2380.1,TOP_LAYER,GROUND,0.00134357,0.00136516,-0.552447
1239.9,2380.1,GROUND,POWER,0.00136516,0.00133295,0.0373758
1239.9,2380.1,POWER,BOTTOM_LAYER,0.00133295,0.00133149,0.0373758
1249.9,2580.1,TOP_LAYER,GROUND,0.000793278,0.000809912,-0.425759
1249.9,2580.1,GROUND,POWER,0.000809912,0.00103669,-0.263191
1249.9,2580.1,POWER,BOTTOM_LAYER,0.00103669,0.00104697,-0.263191
1282.18,1399.39,TOP_LAYER,GROUND,0.106063,0.106086,-0.63399
1282.18,1399.39,GROUND,POWER,0.106086,0.106595,-0.63399
1282.18,1399.39,POWER,BOTTOM_LAYER,0.106595,0.106595,7.62499e-13
1304.9,2360.1,TOP_LAYER,GROUND,0.00135747,0.0013809,-0.599713
1304.9,2360.1,GROUND,POWER,0.0013809,0.0013463,0.040156
1304.9,2360.1,POWER,BOTTOM_LAYER,0.0013463,0.00134473,0.040156
1309.9,590.101,TOP_LAYER,GROUND,0.113268,0.113257,0.267237
1309.9,590.101,GROUND,POWER,0.113257,0.113027,0.267237
1309.9,590.101,POWER,BOTTOM_LAYER,0.113027,0.113027,7.10451e-13
1309.9,990.101,TOP_LAYER,GROUND,0.110538,0.110538,0.00660253
1309.9,990.101,GROUND,POWER,0.110538,0.110532,0.00660253
1309.9,990.101,POWER,BOTTOM_LAYER,0.110532,0.110532,1.06568e-12
1309.9,2190.1,TOP_LAYER,GROUND,23.9497,23.9497,0.103512
1309.9,2190.1,GROUND,POWER,23.9497,23.9496,0.103512
1309.9,2190.1,POWER,BOTTOM_LAYER,23.9496,23.9496,1.81876e-10
1329.9,2580.1,TOP_LAYER,GROUND,0.000856237,0.000880707,-0.626357
1329.9,2580.1,GROUND,POWER,0.000880707,0.00109307,-0.246453
1329.9,2580.1,POWER,BOTTOM_LAYER,0.00109307,0.0011027,-0.246453
1384.9,2115.1,TOP_LAYER,GROUND,23.9494,23.9494,0.174637
1384.9,2115.1,GROUND,POWER,23.9494,23.9493,0.174637
1384.9,2115.1,POWER,BOTTOM_LAYER,23.9493,23.9493,1.81876e-10
1414.9,2275.1,TOP_LAYER,GROUND,23.9516,23.9515,1.30357
1414.9,2275.1,GROUND,POWER,23.9515,23.9504,1.30357
1414.9,2275.1,POWER,BOTTOM_LAYER,23.9504,23.9504,1.81876e-10
1414.9,2360.1,TOP_LAYER,GROUND,23.9545,23.9543,3.46419
1414.9,2360.1,GROUND,POWER,23.9543,23.9513,3.46419
1414.9,2360.1,POWER,BOTTOM_LAYER,23.9513,23.9513,1.81876e-10
1424.9,2610.1,TOP_LAYER,GROUND,23.9694,23.9695,-1.94415
1424.9,2610.1,GROUND,POWER,23.9695,23.9711,-1.94415
1424.9,2610.1,POWER,BOTTOM_LAYER,23.9711,23.9711,1.81876e-10
1479.03,1399.39,TOP_LAYER,GROUND,23.8396,23.8396,0.103805
1479.03,1399.39,GROUND,POWER,23.8396,23.8395,0.103805
1479.03,1399.39,POWER,BOTTOM_LAYER,23.8395,23.8395,1.952e-10
1484.9,2315.1,TOP_LAYER,GROUND,23.9518,23.9517,1.7906
1484.9,2315.1,GROUND,POWER,23.9517,23.9502,1.7906
1484.9,2315.1,POWER,BOTTOM_LAYER,23.9502,23.9502,1.81876e-10
1509.9,2590.1,TOP_LAYER,GROUND,23.9692,23.9693,-2.15582
1509.9,2590.1,GROUND,POWER,23.9693,23.9711,-2.15582
1509.9,2590.1,POWER,BOTTOM_LAYER,23.9711,23.9711,1.81876e-10
1509.9,2990.1,TOP_LAYER,GROUND,23.9729,23.9729,0.105286
1509.9,2990.1,GROUND,POWER,23.9729,23.9728,0.105286
1509.9,2990.1,POWER,BOTTOM_LAYER,23.9728,23.9728,1.81876e-10
1509.9,3290.1,TOP_LAYER,GROUND,0.00102209,0.00102888,-0.173775
1509.9,3290.1,GROUND,POWER,0.00102888,0.00119606,-0.194022
1509.9,3290.1,POWER,BOTTOM_LAYER,0.00119606,0.00120364,-0.194022
1534.9,1790.1,TOP_LAYER,GROUND,23.8429,23.8429,0.237031
1534.9,1790.1,GROUND,POWER,23.8429,23.8427,0.237031
1534.9,1790.1,POWER,BOTTOM_LAYER,23.8427,23.8427,9.09378e-11
1600.58,2691.94,TOP_LAYER,GROUND,23.9735,23.9735,1.75818
1600.58,2691.94,GROUND,POWER,23.9735,23.9728,1.75818
1600.58,2691.94,POWER,BOTTOM_LAYER,23.9728,23.9728,-0
1600.58,3151.94,TOP_LAYER,GROUND,23.9735,23.9735,0.761139
1600.58,3151.94,GROUND,POWER,23.9735,23.9732,0.761139
1600.58,3151.94,POWER,BOTTOM_LAYER,23.9732,23.9732,-0
1604.91,415.637,TOP_LAYER,GROUND,23.8309,23.8309,-1.86282
1604.91,415.637,GROUND,POWER,23.8309,23.8316,-1.86282
1604.91,415.637,POWER,BOTTOM_LAYER,23.8316,23.8316,1.97532e-10
1604.91,875.637,TOP_LAYER,GROUND,23.8332,23.8332,-1.61845
1604.91,875.637,GROUND,POWER,23.8332,23.8339,-1.61845
1604.91,875.637,POWER,BOTTOM_LAYER,23.8339,23.8339,-0
1599.9,2190.1,TOP_LAYER,GROUND,23.9483,23.9483,0.100316
1599.9,2190.1,GROUND,POWER,23.9483,23.9482,0.100316
1599.9,2190.1,POWER,BOTTOM_LAYER,23.9482,23.9482,1.81876e-10
1609.9,790.101,TOP_LAYER,GROUND,23.8331,23.8331,-0.375753
1609.9,790.101,GROUND,POWER,23.8331,23.8334,-0.375753
1609.9,790.101,POWER,BOTTOM_LAYER,23.8334,23.8334,1.81876e-10
1609.9,1190.1,TOP_LAYER,GROUND,23.8373,23.8373,0.212837
1609.9,1190.1,GROUND,POWER,23.8373,23.8371,0.212837
1609.9,1190.1,POWER,BOTTOM_LAYER,23.8371,23.8371,1.81876e-10
1609.9,1590.1,TOP_LAYER,GROUND,23.8421,23.8421,0.405025
1609.9,1590.1,GROUND,POWER,23.8421,23.8417,0.405025
1609.9,1590.1,POWER,BOTTOM_LAYER,23.8417,23.8417,1.81876e-10
1609.9,2790.1,TOP_LAYER,GROUND,23.9728,23.9728,0.145908
1609.9,2790.1,GROUND,POWER,23.9728,23.9727,0.145908
1609.9,2790.1,POWER,BOTTOM_LAYER,23.9727,23.9727,1.81876e-10
1614.9,2605.1,TOP_LAYER,GROUND,23.9713,23.9714,-0.721241
1614.9,2605.1,GROUND,POWER,23.9714,23.972,-0.721241
1614.9,2605.1,POWER,BOTTOM_LAYER,23.972,23.972,1.81876e-10
1709.9,590.101,TOP_LAYER,GROUND,23.8321,23.8321,-0.374326
1709.9,590.101,GROUND,POWER,23.8321,23.8325,-0.374326
1709.9,590.101,POWER,BOTTOM_LAYER,23.8325,23.8325,1.81876e-10
1709.9,990.101,TOP_LAYER,GROUND,23.8343,23.8344,-0.31384
1709.9,990.101,GROUND,POWER,23.8344,23.8346,-0.31384
1709.9,990.101,POWER,BOTTOM_LAYER,23.8346,23.8346,1.81876e-10
1709.9,2190.1,TOP_LAYER,GROUND,23.9467,23.9467,-0.355715
1709.9,2190.1,GROUND,POWER,23.9467,23.947,-0.355715
1709.9,2190.1,POWER,BOTTOM_LAYER,23.947,23.947,1.81876e-10
1709.9,2590.1,TOP_LAYER,GROUND,23.9724,23.9724,-0.109143
1709.9,2590.1,GROUND,POWER,23.9724,23.9725,-0.109143
1709.9,2590.1,POWER,BOTTOM_LAYER,23.9725,23.9725,1.81876e-10
1709.9,2990.1,TOP_LAYER,GROUND,23.9731,23.9731,0.133917
1709.9,2990.1,GROUND,POWER,23.9731,23.973,0.133917
1709.9,2990.1,POWER,BOTTOM_LAYER,23.973,23.973,1.81876e-10
