x;y;layer1;layer2;voltage1;voltage2;current
1009.9;2863.1;INT2__PWR_;BOTTOM_LAYER;23.8736;23.8736;0.0168254
1109.9;2363.1;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.0208899
1109.9;2363.1;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.0208899
1109.9;2363.1;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.0166974
1116.9;3926.1;TOP_LAYER;INT1__GND_;0.00372989;0.00372989;1.21891e-14
1116.9;3926.1;INT1__GND_;INT2__PWR_;0.00372989;0.00372989;-1.97827e-14
1116.9;3926.1;INT2__PWR_;BOTTOM_LAYER;0.00372989;0.00372989;-1.77613e-14
1184.9;413.101;TOP_LAYER;INT1__GND_;0.00570604;0.00570598;0.00091222
1184.9;413.101;INT1__GND_;INT2__PWR_;0.00570598;0.00570713;-0.0104793
1184.9;413.101;INT2__PWR_;BOTTOM_LAYER;0.00570713;0.00571014;-0.00771892
1184.9;1113.1;TOP_LAYER;INT1__GND_;0.00566085;0.00565653;0.0607667
1184.9;1113.1;INT1__GND_;INT2__PWR_;0.00565653;0.00566711;-0.0965143
1184.9;1113.1;INT2__PWR_;BOTTOM_LAYER;0.00566711;0.0056835;-0.04196
1184.9;3213.1;TOP_LAYER;INT1__GND_;23.8737;23.8737;0.0616401
1184.9;3213.1;INT1__GND_;INT2__PWR_;23.8737;23.8737;0.0616401
1184.9;3213.1;INT2__PWR_;BOTTOM_LAYER;23.8737;23.8737;0.0553874
1259.9;2063.1;TOP_LAYER;INT1__GND_;23.8691;23.8691;0.0330079
1259.9;2063.1;INT1__GND_;INT2__PWR_;23.8691;23.8691;0.0330079
1259.9;2063.1;INT2__PWR_;BOTTOM_LAYER;23.8691;23.8691;0.0235802
1359.9;763.101;TOP_LAYER;INT1__GND_;0.00571093;0.0057103;0.00890379
1359.9;763.101;INT1__GND_;INT2__PWR_;0.0057103;0.00571301;-0.0246974
1359.9;763.101;INT2__PWR_;BOTTOM_LAYER;0.00571301;0.00571862;-0.0143738
1359.9;2863.1;TOP_LAYER;INT1__GND_;23.8736;23.8736;-0.0023964
